inst#,actual,predicted,error,prediction
103,1:0,1:0,,0.693
104,2:1,2:1,,0.971
105,1:0,1:0,,0.728
106,1:0,1:0,,0.7
107,1:0,1:0,,0.861
108,2:1,2:1,,0.866
109,2:1,2:1,,0.75
110,1:0,1:0,,0.848
111,1:0,1:0,,0.687
112,2:1,2:1,,0.905
113,2:1,1:0,+,0.51
114,1:0,1:0,,0.838
115,1:0,1:0,,0.892
116,2:1,2:1,,0.839
117,1:0,1:0,,0.725
118,1:0,1:0,,0.788
119,2:1,2:1,,0.76
120,2:1,2:1,,0.751
121,1:0,1:0,,0.87
122,2:1,2:1,,0.839
123,1:0,2:1,+,0.529
124,1:0,1:0,,0.837
125,1:0,1:0,,0.845
126,2:1,2:1,,0.637
127,1:0,1:0,,0.698
128,1:0,1:0,,0.897
129,1:0,1:0,,0.833
130,1:0,1:0,,0.829
131,1:0,1:0,,0.877
132,1:0,1:0,,0.787
133,2:1,2:1,,0.749
134,1:0,1:0,,0.96
135,1:0,1:0,,0.869
136,2:1,2:1,,0.738
137,2:1,2:1,,0.875
138,2:1,2:1,,0.734
139,2:1,2:1,,0.735
140,1:0,1:0,,0.746
141,1:0,1:0,,0.683
142,1:0,1:0,,0.822
143,1:0,1:0,,0.948
144,2:1,2:1,,0.997
145,2:1,2:1,,0.813
146,1:0,1:0,,0.915
147,1:0,1:0,,0.689
148,2:1,2:1,,0.71
149,1:0,1:0,,0.907
150,1:0,1:0,,0.76
151,1:0,1:0,,0.858
152,2:1,2:1,,0.949
153,2:1,2:1,,0.919
154,2:1,2:1,,0.859
155,2:1,2:1,,0.742
156,2:1,2:1,,0.811
157,1:0,1:0,,0.845
158,2:1,2:1,,0.941
159,1:0,1:0,,0.782
160,2:1,2:1,,0.633
161,1:0,1:0,,0.876
162,1:0,1:0,,0.739
163,1:0,1:0,,0.721
164,1:0,1:0,,0.657
165,1:0,1:0,,0.758
166,2:1,2:1,,0.807
167,2:1,2:1,,0.896
168,1:0,1:0,,0.889
169,2:1,2:1,,0.897
170,2:1,2:1,,0.908
171,2:1,2:1,,0.746
172,2:1,2:1,,0.775
173,1:0,1:0,,0.912
174,2:1,2:1,,0.724
175,2:1,2:1,,0.922
176,1:0,1:0,,0.528
177,2:1,1:0,+,0.683
178,1:0,1:0,,0.909
179,2:1,2:1,,0.865
180,1:0,1:0,,0.739
181,1:0,1:0,,0.92
182,1:0,1:0,,0.852
183,1:0,1:0,,0.97
184,1:0,1:0,,0.88
185,1:0,1:0,,0.973
186,1:0,1:0,,0.936
187,1:0,1:0,,0.75
188,2:1,2:1,,0.748
189,1:0,1:0,,0.559
190,1:0,1:0,,0.846
191,2:1,2:1,,0.741
192,2:1,2:1,,0.616
193,1:0,1:0,,0.818
194,2:1,2:1,,0.734
195,2:1,2:1,,0.778
196,1:0,1:0,,0.855
197,1:0,1:0,,0.837
198,1:0,1:0,,0.91
199,2:1,2:1,,0.66
200,2:1,2:1,,0.914
201,2:1,2:1,,0.839
202,2:1,2:1,,0.836
203,2:1,2:1,,0.515
204,2:1,2:1,,0.872
205,1:0,1:0,,0.867
206,2:1,2:1,,0.84
207,2:1,2:1,,0.785
208,1:0,1:0,,0.897
209,1:0,1:0,,0.834
210,1:0,1:0,,0.855
211,2:1,2:1,,0.662
212,1:0,1:0,,0.835
213,2:1,2:1,,0.997
214,2:1,2:1,,0.854
215,2:1,2:1,,0.846
216,2:1,2:1,,0.756
217,2:1,2:1,,0.856
218,2:1,2:1,,0.759
219,2:1,2:1,,0.781
220,2:1,2:1,,0.812
221,1:0,1:0,,0.713
222,2:1,2:1,,0.725
223,2:1,2:1,,0.714
224,1:0,1:0,,0.699
225,2:1,2:1,,0.809
226,2:1,2:1,,0.721
227,1:0,1:0,,0.897
228,1:0,1:0,,0.894
229,1:0,1:0,,0.938
230,1:0,1:0,,0.819
231,1:0,1:0,,0.785
232,1:0,1:0,,0.78
233,1:0,1:0,,0.803
234,2:1,2:1,,0.781
235,1:0,1:0,,0.825
236,2:1,2:1,,0.868
237,1:0,1:0,,0.506
238,2:1,2:1,,0.761
239,2:1,2:1,,0.72
240,1:0,1:0,,0.808
241,2:1,2:1,,0.77
242,1:0,1:0,,0.832
243,2:1,2:1,,0.81
244,2:1,2:1,,0.7
245,1:0,1:0,,0.96
246,1:0,1:0,,0.851
247,2:1,2:1,,0.965
248,2:1,2:1,,0.822
249,2:1,2:1,,0.78
250,2:1,2:1,,0.795
251,2:1,2:1,,0.877
252,2:1,2:1,,0.701
253,2:1,2:1,,0.868
254,2:1,2:1,,0.844
255,1:0,1:0,,0.805
256,2:1,2:1,,0.903
257,1:0,1:0,,0.969
258,2:1,2:1,,0.85
259,2:1,2:1,,0.512
260,2:1,2:1,,0.799
261,1:0,1:0,,0.799
262,2:1,2:1,,0.896
263,2:1,2:1,,0.785
264,2:1,2:1,,0.812
265,2:1,2:1,,0.683
266,2:1,2:1,,0.789
267,2:1,2:1,,0.825
268,2:1,2:1,,0.814
269,1:0,1:0,,0.973
270,1:0,1:0,,0.837
271,2:1,2:1,,0.554
272,1:0,1:0,,0.77
273,1:0,1:0,,0.93
274,2:1,2:1,,0.727
275,1:0,1:0,,0.559
276,1:0,1:0,,0.756
277,1:0,1:0,,0.82
278,2:1,2:1,,0.856
279,1:0,1:0,,0.791
280,1:0,1:0,,0.842
281,1:0,1:0,,0.766
282,2:1,2:1,,0.711
283,1:0,1:0,,0.806
284,1:0,1:0,,0.959
285,1:0,1:0,,0.732
286,1:0,1:0,,0.891
287,2:1,2:1,,0.882
288,2:1,2:1,,0.845
289,1:0,1:0,,0.649
290,2:1,2:1,,0.858
291,1:0,1:0,,0.821
292,2:1,2:1,,0.867
293,2:1,1:0,+,0.525
294,2:1,2:1,,0.816
295,2:1,2:1,,0.874
296,2:1,2:1,,0.832
297,2:1,2:1,,0.937
298,1:0,1:0,,0.87
299,1:0,1:0,,0.786
300,2:1,2:1,,0.941
301,1:0,1:0,,0.853
302,1:0,1:0,,0.839
303,2:1,2:1,,0.706
304,1:0,1:0,,0.875
305,2:1,2:1,,0.563
306,1:0,1:0,,0.777
307,2:1,2:1,,0.949
308,1:0,1:0,,0.865
309,1:0,1:0,,0.8
310,1:0,1:0,,0.886
311,1:0,1:0,,0.859
312,1:0,1:0,,0.792
313,1:0,1:0,,0.921
314,1:0,1:0,,0.822
315,1:0,1:0,,0.777
316,1:0,1:0,,0.742
317,1:0,1:0,,0.734
318,1:0,1:0,,0.752
319,1:0,1:0,,0.784
320,1:0,1:0,,0.766
321,2:1,2:1,,0.848
322,1:0,1:0,,0.803
323,2:1,2:1,,0.711
324,1:0,1:0,,0.807
325,1:0,1:0,,0.724
326,1:0,1:0,,0.876
327,1:0,1:0,,0.816
328,2:1,2:1,,0.859
329,1:0,1:0,,0.851
330,2:1,2:1,,0.666
331,1:0,1:0,,0.938
332,1:0,1:0,,0.909
333,2:1,2:1,,0.877
334,2:1,2:1,,0.795
335,2:1,2:1,,0.704
336,2:1,2:1,,0.758
337,2:1,2:1,,0.774
338,1:0,1:0,,0.668
339,1:0,1:0,,0.798
340,1:0,1:0,,0.819
341,1:0,1:0,,0.772
342,2:1,2:1,,0.88
343,1:0,1:0,,0.939
344,1:0,1:0,,0.668
345,1:0,1:0,,0.794
346,2:1,2:1,,0.995
347,1:0,1:0,,0.703
348,2:1,2:1,,0.8
349,1:0,1:0,,0.512
350,2:1,2:1,,0.504
351,1:0,1:0,,0.773
352,2:1,2:1,,0.825
353,2:1,2:1,,0.905
354,1:0,1:0,,0.943
355,1:0,1:0,,0.763
356,1:0,1:0,,0.913
357,2:1,2:1,,0.89
358,2:1,2:1,,0.871
359,1:0,1:0,,0.836
360,1:0,1:0,,0.704
361,2:1,2:1,,0.761
362,2:1,2:1,,0.796
363,1:0,1:0,,0.72
364,1:0,1:0,,0.693
365,2:1,2:1,,0.693
366,1:0,1:0,,0.699
367,2:1,2:1,,0.836
368,1:0,1:0,,0.672
369,2:1,2:1,,0.729
370,1:0,1:0,,0.824
371,2:1,2:1,,0.835
372,1:0,1:0,,0.905
373,1:0,1:0,,0.759
374,2:1,2:1,,0.791
375,2:1,2:1,,0.792
376,1:0,1:0,,0.927
377,1:0,1:0,,0.895
378,2:1,2:1,,0.711
379,2:1,2:1,,0.726
380,2:1,2:1,,0.902
381,1:0,1:0,,0.884
382,2:1,2:1,,0.82
383,1:0,1:0,,0.86
384,2:1,2:1,,0.848
385,1:0,1:0,,0.924
386,1:0,1:0,,0.804
387,1:0,1:0,,0.893
388,1:0,1:0,,0.775
389,2:1,2:1,,0.8
390,1:0,1:0,,0.856
391,2:1,2:1,,0.562
392,1:0,1:0,,0.73
393,2:1,2:1,,0.783
394,2:1,2:1,,0.944
395,1:0,1:0,,0.837
396,2:1,2:1,,0.829
397,2:1,2:1,,0.757
398,2:1,2:1,,0.702
399,1:0,1:0,,0.716
400,1:0,1:0,,0.897
401,2:1,2:1,,0.935
402,2:1,2:1,,0.797
403,2:1,2:1,,0.716
404,1:0,1:0,,0.716
405,2:1,2:1,,0.833
406,2:1,2:1,,0.799
407,2:1,2:1,,0.834
408,1:0,1:0,,0.788
409,2:1,2:1,,0.759
410,1:0,1:0,,0.944
411,2:1,2:1,,0.803
412,1:0,1:0,,0.914
413,2:1,2:1,,0.88
414,2:1,2:1,,0.739
415,2:1,2:1,,0.901
416,2:1,2:1,,0.915
417,2:1,2:1,,0.883
418,2:1,2:1,,0.849
419,1:0,1:0,,0.718
420,1:0,1:0,,0.876
421,1:0,1:0,,0.682
422,2:1,2:1,,0.945
423,2:1,2:1,,0.912
424,1:0,1:0,,0.739
425,1:0,1:0,,0.773
426,1:0,1:0,,0.92
427,2:1,2:1,,0.782
428,2:1,2:1,,0.865
429,1:0,1:0,,0.735
430,2:1,2:1,,0.887
431,1:0,1:0,,0.905
432,1:0,1:0,,0.799
433,1:0,1:0,,0.824
434,1:0,1:0,,0.837
435,1:0,1:0,,0.796
436,2:1,2:1,,0.795
437,1:0,1:0,,0.84
438,1:0,1:0,,0.778
439,2:1,2:1,,0.821
440,1:0,1:0,,0.861
441,2:1,2:1,,0.726
442,2:1,2:1,,0.866
443,2:1,2:1,,0.785
444,2:1,2:1,,0.887
445,1:0,1:0,,0.695
446,2:1,2:1,,0.881
447,2:1,2:1,,0.853
448,1:0,1:0,,0.815
449,2:1,2:1,,0.962
450,1:0,1:0,,0.815
451,2:1,2:1,,0.973
452,2:1,2:1,,0.832
453,2:1,2:1,,0.819
454,1:0,1:0,,0.951
455,2:1,2:1,,0.89
456,2:1,2:1,,0.837
457,1:0,1:0,,0.774
458,1:0,1:0,,0.686
459,2:1,2:1,,0.896
460,1:0,1:0,,0.93
461,1:0,1:0,,0.716
462,2:1,2:1,,0.822
463,2:1,2:1,,0.65
464,2:1,2:1,,0.719
465,1:0,1:0,,0.677
466,1:0,1:0,,0.81
467,2:1,2:1,,0.679
468,1:0,1:0,,0.732
469,1:0,1:0,,0.807
470,1:0,1:0,,0.724
471,1:0,1:0,,0.838
472,2:1,2:1,,0.842
473,2:1,2:1,,0.92
474,2:1,2:1,,0.856
475,1:0,1:0,,0.881
476,2:1,2:1,,0.746
477,1:0,1:0,,0.912
478,1:0,1:0,,0.77
479,2:1,2:1,,0.937
480,1:0,1:0,,0.859
481,1:0,1:0,,0.802
482,2:1,2:1,,0.828
483,1:0,1:0,,0.773
484,2:1,2:1,,0.731
485,1:0,1:0,,0.922
486,2:1,2:1,,0.827
487,2:1,2:1,,0.862
488,1:0,1:0,,0.832
489,1:0,1:0,,0.816
490,2:1,2:1,,0.809
491,2:1,2:1,,0.66
492,2:1,2:1,,0.65
493,1:0,1:0,,0.86
494,2:1,2:1,,0.796
495,1:0,1:0,,0.893
496,1:0,1:0,,0.805
497,2:1,2:1,,0.829
498,2:1,2:1,,0.791
499,2:1,2:1,,0.844
500,1:0,1:0,,0.823
501,2:1,2:1,,0.71
502,2:1,2:1,,0.698
503,1:0,1:0,,0.806
504,2:1,2:1,,0.707
505,1:0,1:0,,0.79
506,2:1,2:1,,0.949
507,2:1,2:1,,0.69
508,2:1,2:1,,0.806
509,1:0,1:0,,0.814
510,2:1,2:1,,0.792
511,2:1,2:1,,0.878
512,2:1,2:1,,0.73
513,1:0,1:0,,0.718
514,2:1,2:1,,0.913
515,2:1,2:1,,0.797
516,1:0,1:0,,0.747
517,2:1,2:1,,0.835
518,2:1,2:1,,0.92
519,2:1,2:1,,0.796
520,1:0,1:0,,0.742
521,1:0,1:0,,0.685
522,2:1,2:1,,0.811
523,1:0,1:0,,0.797
524,2:1,2:1,,0.828
525,1:0,1:0,,0.782
526,1:0,2:1,+,0.54
527,2:1,2:1,,0.79
528,2:1,2:1,,0.921
529,1:0,1:0,,0.843
530,2:1,2:1,,0.819
531,1:0,1:0,,0.807
532,2:1,2:1,,0.862
533,1:0,2:1,+,0.517
534,1:0,1:0,,0.641
535,1:0,1:0,,0.871
536,2:1,2:1,,0.859
537,1:0,1:0,,0.682
538,1:0,1:0,,0.818
539,1:0,1:0,,0.849
540,1:0,1:0,,0.719
541,2:1,2:1,,0.762
542,1:0,1:0,,0.779
543,1:0,1:0,,0.73
544,2:1,2:1,,0.891
545,1:0,1:0,,0.772
546,2:1,2:1,,0.744
547,1:0,1:0,,0.836
548,1:0,1:0,,0.732
549,1:0,1:0,,0.819
550,1:0,1:0,,0.906
551,2:1,2:1,,0.811
552,2:1,2:1,,0.848
553,2:1,2:1,,0.836
554,2:1,2:1,,0.806
555,2:1,2:1,,0.909
556,1:0,1:0,,0.778
557,1:0,1:0,,0.815
558,2:1,2:1,,0.703
559,2:1,2:1,,0.87
560,2:1,2:1,,0.87
561,1:0,1:0,,0.877
562,2:1,2:1,,0.839
563,2:1,2:1,,0.815
564,2:1,2:1,,0.995
565,2:1,2:1,,0.895
566,1:0,1:0,,0.858
567,1:0,1:0,,0.791
568,2:1,2:1,,0.751
569,2:1,2:1,,0.931
570,2:1,2:1,,0.821
571,1:0,2:1,+,0.567
572,2:1,2:1,,0.701
573,1:0,1:0,,0.77
574,2:1,2:1,,0.71
575,1:0,1:0,,0.828
576,1:0,1:0,,0.784
577,1:0,1:0,,0.929
578,2:1,2:1,,0.759
579,2:1,2:1,,0.99
580,2:1,2:1,,0.791
581,1:0,1:0,,0.959
582,2:1,2:1,,0.758
583,2:1,2:1,,0.723
584,1:0,1:0,,0.772
585,1:0,1:0,,0.903
586,1:0,1:0,,0.881
587,2:1,2:1,,0.641
588,2:1,2:1,,0.816
589,1:0,1:0,,0.861
590,1:0,1:0,,0.843
591,1:0,1:0,,0.825
592,1:0,2:1,+,0.515
593,2:1,2:1,,0.908
594,2:1,2:1,,0.735
595,2:1,2:1,,0.778
596,1:0,1:0,,0.866
597,1:0,1:0,,0.91
598,1:0,1:0,,0.783
599,2:1,2:1,,0.834
600,1:0,1:0,,0.833
601,2:1,2:1,,0.857
602,1:0,1:0,,0.828
603,2:1,2:1,,0.732
604,1:0,1:0,,0.823
605,2:1,2:1,,0.897
606,1:0,2:1,+,0.513
607,2:1,2:1,,0.824
608,1:0,1:0,,0.773
609,1:0,2:1,+,0.716
610,2:1,2:1,,0.798
611,2:1,2:1,,0.921
612,2:1,2:1,,0.81
613,2:1,2:1,,0.788
614,2:1,2:1,,0.74
615,2:1,2:1,,0.75
616,1:0,1:0,,0.763
617,1:0,1:0,,0.847
618,2:1,2:1,,0.755
619,1:0,1:0,,0.805
620,1:0,1:0,,0.833
621,2:1,2:1,,0.769
622,2:1,2:1,,0.764
623,2:1,2:1,,0.835
624,1:0,1:0,,0.841
625,1:0,1:0,,0.853
626,2:1,2:1,,0.927
627,1:0,1:0,,0.795
628,1:0,1:0,,0.833
629,1:0,1:0,,0.771
630,1:0,1:0,,0.829
631,2:1,2:1,,0.818
632,2:1,2:1,,0.903
633,2:1,2:1,,0.699
634,2:1,2:1,,0.698
635,2:1,2:1,,0.769
636,1:0,1:0,,0.886
637,2:1,2:1,,0.942
638,2:1,2:1,,0.929
639,1:0,1:0,,0.723
640,1:0,1:0,,0.834
641,1:0,1:0,,0.64
642,2:1,2:1,,0.847
643,1:0,1:0,,0.806
644,2:1,2:1,,0.726
645,2:1,2:1,,0.791
646,2:1,2:1,,0.84
647,2:1,2:1,,0.801
648,2:1,1:0,+,0.512
649,1:0,1:0,,0.975
650,1:0,1:0,,0.84
651,1:0,1:0,,0.664
652,1:0,1:0,,0.816
653,1:0,1:0,,0.768
654,2:1,2:1,,0.956
655,2:1,2:1,,0.894
656,1:0,1:0,,0.898
657,1:0,1:0,,0.816
658,2:1,2:1,,0.852
659,1:0,1:0,,0.691
660,1:0,1:0,,0.865
661,2:1,2:1,,0.769
662,2:1,2:1,,0.866
663,2:1,2:1,,0.764
664,1:0,1:0,,0.872
665,1:0,1:0,,0.979
666,2:1,2:1,,0.892
667,1:0,1:0,,0.906
668,1:0,1:0,,0.907
669,1:0,1:0,,0.939
670,1:0,1:0,,0.692
671,2:1,2:1,,0.79
672,2:1,2:1,,0.726
673,2:1,2:1,,0.783
674,2:1,1:0,+,0.503
675,2:1,2:1,,0.687
676,1:0,1:0,,0.92
677,1:0,1:0,,0.743
678,2:1,2:1,,0.912
679,2:1,2:1,,0.947
680,1:0,1:0,,0.842
681,2:1,2:1,,0.866
682,2:1,1:0,+,0.592
683,2:1,2:1,,0.787
684,2:1,2:1,,0.74
685,2:1,2:1,,0.652
686,2:1,2:1,,0.755
687,1:0,1:0,,0.868
688,2:1,2:1,,0.867
689,2:1,2:1,,0.716
690,2:1,2:1,,0.809
691,2:1,2:1,,0.846
692,1:0,1:0,,0.807
693,2:1,2:1,,0.894
694,1:0,1:0,,0.786
695,2:1,2:1,,0.853
696,2:1,2:1,,0.802
697,2:1,2:1,,0.91
698,1:0,1:0,,0.955
699,1:0,1:0,,0.816
700,2:1,2:1,,0.782
701,2:1,2:1,,0.805
702,1:0,1:0,,0.799
703,1:0,1:0,,0.857
704,2:1,1:0,+,0.512
705,1:0,1:0,,0.791
706,1:0,1:0,,0.832
707,1:0,1:0,,0.875
708,2:1,2:1,,0.82
709,1:0,1:0,,0.849
710,1:0,1:0,,0.525
711,2:1,2:1,,0.76
712,1:0,1:0,,0.87
713,1:0,1:0,,0.82
714,2:1,2:1,,0.845
715,2:1,2:1,,0.82
716,2:1,2:1,,0.856
717,2:1,2:1,,0.737
718,2:1,2:1,,0.93
719,2:1,2:1,,0.962
720,2:1,2:1,,0.548
721,2:1,2:1,,0.882
722,2:1,2:1,,0.98
723,2:1,2:1,,0.833
724,2:1,2:1,,0.857
725,2:1,2:1,,0.89
726,1:0,1:0,,0.687
727,2:1,2:1,,0.77
728,1:0,1:0,,0.931
729,1:0,1:0,,0.825
730,2:1,2:1,,0.927
731,2:1,2:1,,0.807
732,1:0,1:0,,0.759
733,1:0,1:0,,0.795
734,1:0,1:0,,0.77
735,1:0,1:0,,0.917
736,2:1,2:1,,0.99
737,2:1,2:1,,0.907
738,2:1,2:1,,0.784
739,2:1,2:1,,0.859
740,1:0,1:0,,0.718
741,2:1,2:1,,0.807
742,2:1,2:1,,0.807
743,1:0,1:0,,0.851
744,1:0,1:0,,0.919
745,1:0,1:0,,0.801
746,2:1,2:1,,0.662
747,2:1,2:1,,0.932
748,2:1,2:1,,0.843
749,1:0,1:0,,0.855
750,2:1,2:1,,0.776
751,2:1,2:1,,0.774
752,1:0,1:0,,0.759
753,1:0,1:0,,0.796
754,2:1,2:1,,0.782
755,2:1,2:1,,0.835
756,2:1,2:1,,0.78
757,1:0,1:0,,0.854
758,1:0,1:0,,0.83
759,2:1,2:1,,0.95
760,2:1,2:1,,0.698
761,2:1,2:1,,0.82
762,1:0,1:0,,0.677
763,1:0,1:0,,0.532
764,2:1,2:1,,0.97
765,2:1,2:1,,0.832
766,2:1,2:1,,0.746
767,2:1,2:1,,0.767
768,2:1,2:1,,0.892
769,1:0,1:0,,0.719
770,1:0,1:0,,0.754
771,2:1,2:1,,0.741
772,2:1,2:1,,0.876
773,1:0,1:0,,0.73
774,1:0,1:0,,0.73
775,2:1,2:1,,0.69
776,2:1,2:1,,0.517
777,2:1,2:1,,0.684
778,1:0,1:0,,0.813
779,1:0,1:0,,0.76
780,2:1,2:1,,0.766
781,2:1,2:1,,0.794
782,2:1,2:1,,0.809
783,1:0,1:0,,0.775
784,1:0,1:0,,0.803
785,1:0,1:0,,0.79
786,1:0,1:0,,0.851
787,1:0,1:0,,0.864
788,1:0,1:0,,0.941
789,1:0,1:0,,0.857
790,2:1,2:1,,0.757
791,1:0,1:0,,0.853
792,1:0,1:0,,0.679
793,2:1,2:1,,0.838
794,2:1,2:1,,0.884
795,2:1,2:1,,0.913
796,1:0,1:0,,0.911
797,1:0,1:0,,0.796
798,1:0,1:0,,0.859
799,1:0,1:0,,0.751
800,1:0,1:0,,0.749
801,2:1,2:1,,0.92
802,1:0,1:0,,0.928
803,2:1,2:1,,0.926
804,1:0,1:0,,0.835
805,1:0,1:0,,0.979
806,2:1,2:1,,0.984
807,2:1,2:1,,0.838
808,2:1,2:1,,0.771
809,2:1,2:1,,0.793
810,2:1,2:1,,0.782
811,2:1,2:1,,0.778
812,1:0,1:0,,0.825
813,2:1,2:1,,0.834
814,1:0,1:0,,0.833
815,1:0,1:0,,0.866
816,2:1,2:1,,0.933
817,1:0,1:0,,0.788
818,1:0,1:0,,0.732
819,1:0,1:0,,0.847
820,2:1,2:1,,0.769
821,2:1,2:1,,0.783
822,1:0,1:0,,0.77
823,2:1,2:1,,0.744
824,1:0,1:0,,0.823
825,2:1,1:0,+,0.559
826,2:1,2:1,,0.774
827,1:0,1:0,,0.91
828,1:0,1:0,,0.871
829,1:0,1:0,,0.812
830,2:1,2:1,,0.822
831,1:0,1:0,,0.856
832,2:1,2:1,,0.821
833,1:0,1:0,,0.797
834,1:0,1:0,,0.769
835,2:1,2:1,,0.789
836,2:1,2:1,,0.752
837,2:1,2:1,,0.772
838,1:0,1:0,,0.917
839,2:1,2:1,,0.864
840,2:1,2:1,,0.799
841,1:0,1:0,,0.975
842,2:1,2:1,,0.756
843,2:1,1:0,+,0.532
844,1:0,1:0,,0.773
845,2:1,2:1,,0.829
846,1:0,1:0,,0.781
847,1:0,1:0,,0.512
848,1:0,1:0,,0.81
849,2:1,2:1,,0.844
850,2:1,2:1,,0.764
851,1:0,1:0,,0.792
852,1:0,1:0,,0.865
853,2:1,2:1,,0.743
854,2:1,2:1,,0.797
855,2:1,2:1,,0.817
856,2:1,2:1,,0.669
857,2:1,2:1,,0.689
858,1:0,1:0,,0.842
859,2:1,2:1,,0.922
860,1:0,1:0,,0.756
861,1:0,1:0,,0.835
862,1:0,1:0,,0.751
863,1:0,1:0,,0.775
864,2:1,2:1,,0.903
865,2:1,2:1,,0.64
866,2:1,2:1,,0.89
867,2:1,1:0,+,0.592
868,1:0,1:0,,0.819
869,2:1,2:1,,0.54
870,1:0,1:0,,0.812
871,2:1,2:1,,0.812
872,1:0,1:0,,0.813
873,2:1,2:1,,0.867
874,2:1,2:1,,0.903
875,1:0,1:0,,1
876,2:1,2:1,,0.845
877,2:1,2:1,,0.645
878,1:0,1:0,,0.797
879,1:0,1:0,,0.898
880,1:0,1:0,,0.698
881,1:0,1:0,,0.972
882,1:0,2:1,+,0.607
883,1:0,1:0,,0.62
884,2:1,2:1,,0.894
885,1:0,1:0,,0.896
886,1:0,1:0,,0.816
887,2:1,2:1,,0.872
888,2:1,2:1,,0.995
889,1:0,1:0,,0.805
890,1:0,2:1,+,0.563
891,1:0,1:0,,0.75
892,2:1,2:1,,0.782
893,1:0,1:0,,0.928
894,1:0,1:0,,0.891
895,1:0,1:0,,0.832
896,2:1,2:1,,0.72
897,2:1,2:1,,0.881
898,1:0,1:0,,0.81
899,2:1,2:1,,0.812
900,1:0,1:0,,0.687
901,1:0,1:0,,0.858
902,1:0,1:0,,0.852
903,1:0,1:0,,0.901
904,2:1,2:1,,0.777
905,2:1,2:1,,0.865
906,2:1,2:1,,0.825
907,1:0,1:0,,0.781
908,1:0,1:0,,0.906
909,2:1,2:1,,0.798
910,2:1,2:1,,0.855
911,2:1,2:1,,0.804
912,1:0,1:0,,0.894
913,2:1,2:1,,0.853
914,1:0,1:0,,0.841
915,1:0,1:0,,0.839
916,2:1,2:1,,0.825
917,1:0,1:0,,0.778
918,2:1,2:1,,0.885
919,2:1,2:1,,0.818
920,2:1,2:1,,0.894
921,2:1,2:1,,0.891
922,2:1,2:1,,0.799
923,1:0,1:0,,0.729
924,1:0,1:0,,0.815
925,1:0,1:0,,0.934
926,2:1,2:1,,0.708
927,1:0,1:0,,0.816
928,1:0,1:0,,0.888
929,1:0,1:0,,0.919
